system:index,date,month,precipitation,year,.geo
101,2012-06,6.0,17.761716842651367,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2012-07,7.0,5.408346176147461,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2012-08,8.0,7.581264019012451,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2012-09,9.0,6.155352592468262,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2012-10,10.0,43.166147232055664,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2012-11,11.0,31.563198804855347,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2012-12,12.0,49.11249852180481,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2013-01,1.0,21.05966341495514,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2013-02,2.0,25.453771114349365,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2013-03,3.0,17.52365118265152,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2013-04,4.0,36.41762065887451,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2013-05,5.0,39.620527267456055,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2013-06,6.0,14.098833560943604,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2013-07,7.0,5.771636724472046,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2013-08,8.0,0.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2013-09,9.0,7.197022199630737,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2013-10,10.0,31.329261779785156,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2013-11,11.0,20.450830221176147,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2013-12,12.0,15.605543732643127,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2014-01,1.0,38.1831910610199,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2014-02,2.0,21.214877605438232,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2014-03,3.0,29.08756649494171,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2014-04,4.0,17.87812042236328,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2014-05,5.0,50.24714279174805,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2014-06,6.0,30.079721450805664,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2014-07,7.0,6.855250597000122,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2014-08,8.0,0.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2014-09,9.0,20.535308837890625,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2014-10,10.0,53.06411361694336,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2014-11,11.0,52.325544357299805,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2014-12,12.0,27.229939222335815,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2015-01,1.0,31.473984003067017,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2015-02,2.0,35.88591551780701,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2015-03,3.0,37.15981134772301,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2015-04,4.0,18.409356594085693,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2015-05,5.0,44.414974212646484,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2015-06,6.0,48.229387283325195,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2015-07,7.0,6.01374077796936,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2015-08,8.0,0.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2015-09,9.0,9.179608583450317,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2015-10,10.0,46.84496784210205,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2015-11,11.0,8.396387338638306,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2015-12,12.0,5.596284866333008,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2016-01,1.0,31.794527173042297,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2016-02,2.0,19.14088201522827,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2016-03,3.0,21.34581208229065,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2016-04,4.0,20.393919229507446,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2016-05,5.0,51.26828098297119,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2016-06,6.0,18.79647445678711,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2016-07,7.0,6.190177917480469,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2016-08,8.0,0.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2016-09,9.0,18.058958053588867,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2016-10,10.0,8.305946350097656,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2016-11,11.0,19.45330572128296,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2016-12,12.0,83.19200325012207,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2017-01,1.0,26.776745319366455,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2017-02,2.0,8.39932644367218,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2017-03,3.0,36.26862144470215,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2017-04,4.0,34.84231472015381,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2017-05,5.0,56.22084188461304,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2017-06,6.0,30.56092643737793,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2017-07,7.0,0.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2017-08,8.0,6.4136962890625,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2017-09,9.0,7.299980640411377,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2017-10,10.0,29.559487342834473,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2017-11,11.0,44.621718406677246,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2017-12,12.0,21.434558391571045,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2018-01,1.0,37.21510136127472,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2018-02,2.0,18.721231043338776,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2018-03,3.0,33.7052503824234,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2018-04,4.0,15.120322704315186,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2018-05,5.0,66.09183204174042,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2018-06,6.0,49.70255517959595,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2018-07,7.0,7.089885711669922,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2018-08,8.0,1.228896141052246,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2018-09,9.0,12.31873607635498,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2018-10,10.0,32.23216199874878,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2018-11,11.0,29.5174241065979,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2018-12,12.0,61.88523230570718,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2019-01,1.0,57.350433349609375,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2019-02,2.0,29.819895386695862,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2019-03,3.0,20.000036478042603,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2019-04,4.0,37.24910315871239,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2019-05,5.0,32.832844257354736,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2019-06,6.0,46.56201958656311,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2019-07,7.0,9.92908763885498,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2019-08,8.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2019-09,9.0,9.494882106781006,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2019-10,10.0,13.570995807647705,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2019-11,11.0,24.25311506966318,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2019-12,12.0,55.97982168197632,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2020-01,1.0,34.78098440170288,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2020-02,2.0,35.630874276161194,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2020-03,3.0,21.112586975097656,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2020-04,4.0,25.41547703742981,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2020-05,5.0,43.13020062446594,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2020-06,6.0,21.812766925072992,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2020-07,7.0,2.9445481300354004,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2020-08,8.0,0.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2020-09,9.0,9.125724792480469,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2020-10,10.0,15.686776333357557,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2020-11,11.0,14.936634063720703,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2020-12,12.0,23.903448700904846,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2021-01,1.0,33.16277360916138,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2021-02,2.0,12.644695043563843,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2021-03,3.0,28.01063323020935,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2021-04,4.0,27.06882154941559,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2021-05,5.0,21.550766944885254,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2021-06,6.0,21.992220401763916,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2021-07,7.0,12.852246522903442,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2021-08,8.0,0.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2021-09,9.0,12.302763938903809,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2021-10,10.0,7.23584771156311,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2021-11,11.0,24.781416416168213,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2021-12,12.0,59.173319578170776,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2022-01,1.0,43.73486888408661,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2022-02,2.0,31.94010305404663,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2022-03,3.0,35.950722217559814,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2022-04,4.0,21.882112741470337,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2022-05,5.0,30.958304405212402,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2022-06,6.0,24.82660906203091,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2022-07,7.0,6.308077812194824,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2022-08,8.0,0.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2022-09,9.0,11.323387190715948,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2022-10,10.0,18.052072525024414,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2022-11,11.0,20.783331871032715,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2022-12,12.0,15.42800760269165,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2023-01,1.0,11.985706448554993,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2023-02,2.0,18.084791660308838,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2023-03,3.0,33.25599122047424,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2023-04,4.0,38.227111756801605,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2023-05,5.0,61.776641607284546,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2023-06,6.0,52.376227378845215,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2023-07,7.0,6.736753463745117,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2023-08,8.0,0.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2023-09,9.0,9.615131378173828,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2023-10,10.0,16.080381393432617,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2023-11,11.0,50.87139189243317,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2023-12,12.0,28.269330143928528,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2024-01,1.0,32.36918479204178,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2024-02,2.0,16.611911296844482,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2024-03,3.0,17.78471577167511,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2024-04,4.0,22.535857024492827,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2024-05,5.0,53.58603736758232,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2024-06,6.0,12.758313523721881,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2024-07,7.0,17.72868537902832,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2024-08,8.0,4.5066835060715675,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2024-09,9.0,21.043177604675293,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2024-10,10.0,8.1034974680515,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2024-11,11.0,34.766053199768066,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2024-12,12.0,48.990960121154785,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
